audio_id,duration_sec,sample_rate,channels,bpm,lufs,spectral_centroid_mean,spectral_centroid_std,zero_crossing_rate_mean,spectral_rolloff_mean,rms_mean,rms_std,key,key_strength
D0CC3C06BCC643C4AD0737115C,540.69,48000,2,161.5,-17.72,1665.41,884.28,0.0637,3834.82,0.129558,0.066602,F#,0.4948
8E0D1A1B284746B3A1FCE15B41,352.15,48000,2,161.5,-12.47,2250.47,977.64,0.0845,5149.86,0.270189,0.130418,D#,0.7458
09E39F2B2CB84CEDAF02365CB2,259.0,48000,2,103.36,-14.39,2313.61,1125.21,0.092,5039.41,0.179222,0.09114,F,0.5291
CDF8316BBDD2488A877E675E8F,261.25,48000,2,112.35,-19.31,2062.66,768.34,0.0847,4439.46,0.113566,0.039824,F#,0.701
01M0RFPVPNNQ8XKY1MCWV09261,440.42,48000,2,136.0,-22.69,1644.3,1111.99,0.0625,3427.36,0.068715,0.042333,F,0.5165
F905340525194A1A9D838DB885,332.28,48000,2,123.05,-17.76,2172.5,839.14,0.0983,4578.64,0.119953,0.083111,G#,0.8571
1C69AC77BB3042A4A237DF5966,285.61,48000,2,123.05,-17.95,1589.51,1052.96,0.0521,3311.83,0.126899,0.067266,B,0.447
3D71C975F9D24E4CB5B77D85FA,132.88,48000,2,107.67,-20.78,1309.7,646.34,0.0401,2680.25,0.084361,0.048433,E,0.5454
01M0RFPVY8ZNBRSF3M6KVT1TY2,134.89,48000,2,161.5,-32.44,1869.11,998.49,0.0825,3838.37,0.020148,0.010886,E,0.479
01M0E9X17RZ522YBF6Z913H4VJ,30.0,48000,2,161.5,-18.38,2128.71,1808.91,0.1512,3372.55,0.033961,0.049117,F,0.5788
F7E5F56ECCCC479589A26A2A10,220.0,48000,2,143.55,-14.02,2032.49,891.14,0.0704,4378.66,0.212695,0.105987,D,0.5537
33EA926BB2D64917AF8A166779,175.0,48000,2,143.55,-20.5,1359.93,506.75,0.0409,2795.66,0.09369,0.043301,D,0.5375
4AD0681C6347477D8B1E849422,241.0,48000,2,152.0,-15.25,2336.08,713.59,0.1062,4955.58,0.164689,0.07399,C,0.5516
924CF2535CAB4C48A485EF4845,367.2,48000,2,99.38,-13.29,3063.62,1221.94,0.1232,6960.8,0.199481,0.145819,B,0.74
448A140A77354AAC9458496B10,201.0,48000,2,136.0,-18.79,3458.88,1233.66,0.1452,7555.84,0.116028,0.069294,G,0.6706
2446DC352B064D65AD61142249,249.0,48000,2,123.05,-14.46,2197.04,973.87,0.0978,4659.74,0.157841,0.092472,G,0.4585
